nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	parent_ETD	local_ETD	delta_ETD	long_link_sender	MPD	shortcut_sender	tree_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
11	5	3	13	23490	13	24090	0	6	6	0	323	0	0	2018-07-23 10:24:45	40011	1532312685304	190
72	5	70	13	21835	13	21824	12	17	5	0	12	1	0	2018-07-23 10:24:45	40072	1532312685338	191
21	5	4	13	24066	13	23930	5	6	1	0	136	1	0	2018-07-23 10:24:45	40021	1532312685404	192
63	5	70	13	22731	13	21957	12	16	4	0	145	1	0	2018-07-23 10:24:45	40063	1532312685438	193
4	5	3	13	23794	13	24116	0	5	5	0	349	0	1	2018-07-23 10:24:45	40004	1532312685538	194
37	5	4	13	22837	13	24305	5	14	9	0	511	0	1	2018-07-23 10:24:45	40037	1532312685605	195
70	5	4	13	21812	13	24002	5	12	7	0	208	0	1	2018-07-23 10:24:45	40070	1532312685638	196
78	5	70	13	22268	13	22271	12	17	5	0	459	0	0	2018-07-23 10:24:45	40078	1532312685735	197
77	5	50	13	22334	13	22923	33	34	1	0	20	1	0	2018-07-23 10:24:45	40077	1532312685763	198
9	5	64	13	24634	13	23008	11	10	65535	0	65535	0	0	2018-07-23 10:24:45	40009	1532312685797	199
56	5	37	13	22293	13	23095	14	23	9	0	258	0	0	2018-07-23 10:24:45	40056	1532312685830	200
64	5	70	13	23008	13	22325	12	11	65535	0	513	0	1	2018-07-23 10:24:45	40064	1532312685897	201
53	5	50	13	22360	13	23056	33	38	5	0	153	0	0	2018-07-23 10:24:45	40053	1532312685930	202
40	5	38	13	22436	13	23238	19	29	10	0	31	0	1	2018-07-23 10:24:45	40040	1532312685964	203
67	5	64	13	22400	13	23092	11	10	65535	0	84	0	0	2018-07-23 10:24:45	40067	1532312685997	204
26	5	38	13	23378	13	23294	19	19	65535	0	87	1	0	2018-07-23 10:24:46	40026	1532312686030	205
50	5	70	13	22903	13	22282	12	33	21	1	470	0	0	2018-07-23 10:24:46	40050	1532312686097	206
43	5	50	13	22589	13	23218	33	29	65535	0	315	0	0	2018-07-23 10:24:46	40043	1532312686130	207
38	5	50	13	23206	13	23068	33	19	65535	0	165	0	1	2018-07-23 10:24:46	40038	1532312686197	208
33	5	38	13	23216	13	23275	19	19	65535	0	68	0	0	2018-07-23 10:24:46	40033	1532312686231	209
44	5	41	13	22722	13	23715	29	24	65535	0	244	0	1	2018-07-23 10:24:46	40044	1532312686297	210
48	5	40	13	22501	13	22475	29	34	5	0	39	1	0	2018-07-23 10:24:46	40048	1532312686348	211
41	5	50	13	23471	13	23178	33	29	65535	0	275	0	1	2018-07-23 10:24:46	40041	1532312686598	212
24	5	41	13	23688	13	23823	29	38	9	0	352	0	0	2018-07-23 10:24:46	40024	1532312686665	213
47	5	40	13	22637	13	22623	29	34	5	0	187	0	0	2018-07-23 10:24:46	40047	1532312686698	214
8	5	64	13	24741	13	23313	11	5	65535	0	305	0	1	2018-07-23 10:24:46	40008	1532312686731	215
39	5	50	13	23063	13	22903	33	19	65535	0	65535	0	0	2018-07-23 10:24:46	40039	1532312686798	216
52	5	41	13	22942	13	23866	29	34	5	0	395	0	0	2018-07-23 10:24:46	40052	1532312686965	217
32	5	41	13	23440	13	23590	29	36	7	0	119	0	0	2018-07-23 10:24:47	40032	1532312687165	218
4	6	3	13	43948	13	44270	0	5	5	0	22	1	1	2018-07-23 10:25:04	40004	1532312704792	219
20	6	3	13	44132	13	44446	0	5	5	0	198	0	0	2018-07-23 10:25:04	40020	1532312704910	220
80	6	3	13	41961	13	44461	0	10	10	0	213	0	0	2018-07-23 10:25:04	40080	1532312704975	221
12	6	4	13	44072	13	44195	5	5	65535	0	247	0	0	2018-07-23 10:25:05	40012	1532312705060	222
11	6	4	13	43875	13	44146	5	6	1	0	198	0	0	2018-07-23 10:25:05	40011	1532312705101	223
16	6	4	13	44503	13	44340	5	5	65535	0	392	0	0	2018-07-23 10:25:05	40016	1532312705143	224
26	6	8	13	42994	13	44262	5	19	14	0	99	0	0	2018-07-23 10:25:05	40026	1532312705185	225
70	6	4	13	42027	13	44217	5	12	7	0	269	0	1	2018-07-23 10:25:05	40070	1532312705268	226
9	6	8	13	44614	13	44416	5	10	5	0	253	0	0	2018-07-23 10:25:05	40009	1532312705310	227
63	6	70	13	42904	13	42130	12	16	4	0	103	0	0	2018-07-23 10:25:05	40063	1532312705352	228
33	6	37	13	43110	13	43145	14	19	5	0	70	0	0	2018-07-23 10:25:05	40033	1532312705452	229
21	6	4	13	44506	13	44370	5	6	1	0	422	0	0	2018-07-23 10:25:05	40021	1532312705485	230
43	6	40	13	42452	13	42397	29	29	65535	0	65535	0	0	2018-07-23 10:25:05	40043	1532312705519	231
